index	representative	orbit_size	orbit_words
57	1111222334432434	16	1111222334432434,1112223344314234,1122133442132344,1211324321323444,1112233213234444,1122331122344434,1213211223443344,1122112234333444,1211122343324434,1111223432243344,1112234321432434,1122343114223344,1213421132233444,1123211322334444,1231112223344434,1211122233443344
58	1111222334434234	16	1111222334434234,1112223344341234,1122133442312344,1211324323123444,1112233231234444,1122331212344434,1213212123443344,1122121234333444,1211212343324434,1112123432243344,1121234321432434,1212343114223344,1123421132233444,1234111222334434,1231112223344344,1211122233443434
59	1111222342333444	16	1111222342333444,1112223413324434,1122134132243344,1211341222333444,1112312223334444,1123122133244434,1231211322443344,1212113224333444,1121132243324434,1211322433144234,1112223331442344,1122133214423434,1211322143234344,1112221332343444,1122113323424434,1211132234243344
60	1111222342334344	16	1111222342334344,1112223413342434,1122134132423344,1211341223233444,1112312232334444,1123122313244434,1231213122443344,1212131224333444,1121312243324434,1213122433144234,1121223331442344,1212133214423434,1121322143234344,1213211432342434,1122113323424344,1211132234243434
61	1111222342334434	16	1111222342334434,1112223413344234,1122134132432344,1211341223323444,1112312233234444,1123122331244434,1231213212443344,1212132124333444,1121321243324434,1213212433144234,1122123331442344,1211233214423434,1112322143234344,1123211432342434,1231114223423344,1211132234233444
62	1111222342343344	16	1111222342343344,1112223413432434,1122134134223344,1211341232233444,1112312322334444,1123123213244434,1231231122443344,1212311224333444,1123112243324434,1231122433144234,1211223331442344,1112233214423434,1122331144234234,1213211432342344,1122113323423444,1211132234234434
63	1111222342343434	16	1111222342343434,1112223413434234,1122134134232344,1211341232323444,1112312323234444,1123123231244434,1231231212443344,1212312124333444,1123121243324434,1231212433144234,1212123331442344,1121233214423434,1212331144234234,1123211432342344,1231114223423434,1211132234234344
64	1111222343233444	16	1111222343233444,1112223431324434,1122134312243344,1211342122333444,1112321223334444,1123212133244434,1231121322443344,1211213224333444,1112132243324434,1121322433144234,1213214321432344,1122133214323444,1211322143234434,1112221332344344,1122113323442434,1211132234423344
65	1111222343234344	16	1111222343234344,1112223431342434,1122134312423344,1211342123233444,1112321232334444,1123212313244434,1231123122443344,1211231224333444,1112312243324434,1123122433144234,1231214321432344,1212133214323444,1121322143234434,1213211432344234,1122113323442344,1211132234423434
66	1111222343234434	16	1111222343234434,1112223431344234,1122134312432344,1211342123323444,1112321233234444,1123212331244434,1231123212443344,1211232124333444,1112321243324434,1123212433144234,1231124321432344,1211233214323444,1112322143234434,1123211432344234,1231114223432344,1211132234323444
67	1111222343243344	16	1111222343243344,1112223431432434,1122134314223344,1211342132233444,1112321322334444,1123213213244434,1231122132443344,1211221324333444,1112213243324434,1122132433144234,1211324321432344,1112233214323444,1122331142234434,1213211422343344,1122113223433444,1211132234324434
68	1111222343243434	16	1111222343243434,1112223431434234,1122134314232344,1211342132323444,1112321323234444,1123213231244434,1231122312443344,1211223124333444,1112231243324434,1122312433144234,1213124321432344,1121233214323444,1212331142234434,1123211422343344,1231114223432434,1211132234324344
69	1111222343323444	16	1111222343323444,1112223433124434,1122134321243344,1211342212333444,1112322123334444,1123211233244434,1231112322443344,1211123224333444,1111232243324434,1112322433144234,1123214321432344,1231142213323444,1211322133234444,1112221332344434,1122113323444234,1211132234432344
