class_index	representative_index_a	representative_index_b	w_global_index_a	w_word_a	transpose_word_a	value_a	status_a	double_trident_a	warning_a	active_term_count_a	discharged_term_count_a	elapsed_sec_a	w_global_index_b	w_word_b	transpose_word_b	value_b	status_b	double_trident_b	warning_b	active_term_count_b	discharged_term_count_b	elapsed_sec_b	double_trident_profile
385	990	1170	1696	1112232142334434	1231213414232344	1	fallback_evaluated_by_x_component_coloring	no		2	3	0.353	2282	1112312234243434	1231142321423344	-1	fallback_evaluated_by_x_component_coloring	no		1	5	1.100	neither
386	993	1452	1710	1112232143423344	1231213412243434	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.291	4397	1121223413234344	1213231142432434	-1	fallback_evaluated_by_x_component_coloring	no		1	6	3.218	neither
387	999	1011	1735	1112232314234344	1231213241432434	1	fallback_evaluated_by_x_component_coloring	no		2	5	4.514	1776	1112232341324344	1231213214342434	-1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	1	8	0.074	second_orientation_only
388	1000	1166	1736	1112232314234434	1231213241432344	1	fallback_evaluated_by_x_component_coloring	no		2	4	2.423	2274	1112312233424434	1231142323142344	-1	fallback_evaluated_by_x_component_coloring	no		1	4	0.522	neither
389	1002	1090	1742	1112232314342344	1231213241324434	-1	fallback_evaluated_by_x_component_coloring	no		2	4	2.630	2078	1112234122334344	1231211434232434	1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	2	8	1.432	second_orientation_only
390	1004	1505	1755	1112232331424344	1231213234142434	1	fallback_evaluated_by_x_component_coloring	no		1	3	0.074	5423	1121314234232434	1213141222334344	-1	fallback_evaluated_by_x_component_coloring	no		1	7	7.085	neither
391	1015	1114	1783	1112232341432344	1231213214234434	1	fallback_evaluated_by_x_component_coloring	no		2	3	0.832	2112	1112234132432434	1231211423234344	-1	fallback_evaluated_by_x_component_coloring	no		1	5	2.041	neither
392	1017	1134	1789	1112232343142344	1231213213424434	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.143	2153	1112234231432344	1231211324234434	-1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	1	8	0.059	second_orientation_only
393	1026	1164	1812	1112232413234434	1231213142432344	-1	fallback_evaluated_by_x_component_coloring	no		1	5	1.577	2265	1112312232434434	1231142324132344	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.173	neither
394	1031	1107	1823	1112232413432344	1231213142234434	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.178	2105	1112234132324434	1231211423342344	-1	fallback_evaluated_by_x_component_coloring	no		2	4	1.886	neither
395	1039	1111	1854	1112232434132344	1231213122434434	-1	fallback_evaluated_by_x_component_coloring	no		2	4	4.337	2109	1112234132423344	1231211423243434	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.176	neither
396	1058	1258	2009	1112233412234434	1231212143432344	1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	2	7	0.053	2571	1112321342423344	1231124213243434	-1	fallback_evaluated_by_x_component_coloring	no		1	4	0.176	first_orientation_only
397	1068	1161	2021	1112233412432434	1231212143234344	-1	fallback_evaluated_by_x_component_coloring	no		1	5	1.990	2250	1112312223434344	1231142342132434	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.175	neither
398	1073	1281	2026	1112233414232434	1231212142334344	1	fallback_evaluated_by_x_component_coloring	no		1	5	2.437	2935	1112323231424344	1231122334142434	-1	fallback_evaluated_by_x_component_coloring	no		1	4	0.241	neither
399	1081	1130	2047	1112233423142344	1231212133424434	-1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	2	7	0.053	2146	1112234231324344	1231211324342434	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.227	first_orientation_only
400	1085	1152	2056	1112233424132344	1231212132434434	1	fallback_evaluated_by_x_component_coloring	no		1	3	0.032	2231	1112234341223344	1231211224343434	-1	fallback_evaluated_by_x_component_coloring	no		2	3	0.818	neither
401	1408	1427	3900	1121212233434344	1213243412132434	1	fallback_evaluated_by_x_component_coloring	no		1	4	0.208	4044	1121213243423344	1213241312243434	-1	fallback_evaluated_by_x_component_coloring	no		5	5	25.914	neither
402	1420	1444	4007	1121213233424344	1213241323142434	-1	fallback_evaluated_by_x_component_coloring	no		2	4	2.893	4281	1121223142334344	1213231414232434	1	fallback_evaluated_by_x_component_coloring	no		2	4	2.864	neither
403	1440	1507	4259	1121223133424344	1213231423142434	-1	fallback_evaluated_by_x_component_coloring	no		1	4	0.249	5850	1121323142324344	1213122413342434	1	fallback_evaluated_by_x_component_coloring	yes	WARNING: 3-strand relation used	9	16	134.325	second_orientation_only
