index	original_representative	transpose_word	original_tableau	transpose_tableau
77	1111222343432344	1234123112234434	[[1,2,3,4],[5,6,7,13],[8,10,12,14],[9,11,15,16]]	[[1,5,8,9],[2,6,10,11],[3,7,12,15],[4,13,14,16]]
78	1111222343432434	1234123112234344	[[1,2,3,4],[5,6,7,13],[8,10,12,15],[9,11,14,16]]	[[1,5,8,9],[2,6,10,11],[3,7,12,14],[4,13,15,16]]
79	1111222343434234	1234123112233444	[[1,2,3,4],[5,6,7,14],[8,10,12,15],[9,11,13,16]]	[[1,5,8,9],[2,6,10,11],[3,7,12,13],[4,14,15,16]]
80	1111223223343444	1234121342314234	[[1,2,3,4],[5,6,8,9],[7,10,11,13],[12,14,15,16]]	[[1,5,7,12],[2,6,10,14],[3,8,11,15],[4,9,13,16]]
81	1111223223344344	1234121342312434	[[1,2,3,4],[5,6,8,9],[7,10,11,14],[12,13,15,16]]	[[1,5,7,12],[2,6,10,13],[3,8,11,15],[4,9,14,16]]
82	1111223223344434	1234121342312344	[[1,2,3,4],[5,6,8,9],[7,10,11,15],[12,13,14,16]]	[[1,5,7,12],[2,6,10,13],[3,8,11,14],[4,9,15,16]]
83	1111223223433444	1234121342134234	[[1,2,3,4],[5,6,8,9],[7,10,12,13],[11,14,15,16]]	[[1,5,7,11],[2,6,10,14],[3,8,12,15],[4,9,13,16]]
84	1111223223434344	1234121342132434	[[1,2,3,4],[5,6,8,9],[7,10,12,14],[11,13,15,16]]	[[1,5,7,11],[2,6,10,13],[3,8,12,15],[4,9,14,16]]
85	1111223223434434	1234121342132344	[[1,2,3,4],[5,6,8,9],[7,10,12,15],[11,13,14,16]]	[[1,5,7,11],[2,6,10,13],[3,8,12,14],[4,9,15,16]]
86	1111223223443344	1234121342123434	[[1,2,3,4],[5,6,8,9],[7,10,13,14],[11,12,15,16]]	[[1,5,7,11],[2,6,10,12],[3,8,13,15],[4,9,14,16]]
87	1111223223443434	1234121342123344	[[1,2,3,4],[5,6,8,9],[7,10,13,15],[11,12,14,16]]	[[1,5,7,11],[2,6,10,12],[3,8,13,14],[4,9,15,16]]
88	1111223224334344	1234121341232434	[[1,2,3,4],[5,6,8,9],[7,11,12,14],[10,13,15,16]]	[[1,5,7,10],[2,6,11,13],[3,8,12,15],[4,9,14,16]]
89	1111223224334434	1234121341232344	[[1,2,3,4],[5,6,8,9],[7,11,12,15],[10,13,14,16]]	[[1,5,7,10],[2,6,11,13],[3,8,12,14],[4,9,15,16]]
90	1111223224343344	1234121341223434	[[1,2,3,4],[5,6,8,9],[7,11,13,14],[10,12,15,16]]	[[1,5,7,10],[2,6,11,12],[3,8,13,15],[4,9,14,16]]
91	1111223224343434	1234121341223344	[[1,2,3,4],[5,6,8,9],[7,11,13,15],[10,12,14,16]]	[[1,5,7,10],[2,6,11,12],[3,8,13,14],[4,9,15,16]]
92	1111223232343444	1234121324314234	[[1,2,3,4],[5,6,8,10],[7,9,11,13],[12,14,15,16]]	[[1,5,7,12],[2,6,9,14],[3,8,11,15],[4,10,13,16]]
93	1111223232344344	1234121324312434	[[1,2,3,4],[5,6,8,10],[7,9,11,14],[12,13,15,16]]	[[1,5,7,12],[2,6,9,13],[3,8,11,15],[4,10,14,16]]
94	1111223232344434	1234121324312344	[[1,2,3,4],[5,6,8,10],[7,9,11,15],[12,13,14,16]]	[[1,5,7,12],[2,6,9,13],[3,8,11,14],[4,10,15,16]]
95	1111223232433444	1234121324134234	[[1,2,3,4],[5,6,8,10],[7,9,12,13],[11,14,15,16]]	[[1,5,7,11],[2,6,9,14],[3,8,12,15],[4,10,13,16]]
96	1111223232434344	1234121324132434	[[1,2,3,4],[5,6,8,10],[7,9,12,14],[11,13,15,16]]	[[1,5,7,11],[2,6,9,13],[3,8,12,15],[4,10,14,16]]
